"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Fri Sep 11 12:56:36 IST 2026","Fri Sep 11 12:56:36 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2419_verifyBMIValueIsAutoCalculated","Verify the functionality of BM index(auto-calculated) textfield on 1st vital screen",""
"passed","Fri Sep 18 12:55:27 IST 2026","Fri Sep 18 12:55:42 IST 2026","15079","Suite","M2006C3MII","com.intelehealth.tests.AppSetupTest","com.intelehealth.tests.AppSetupTest","IDA4_1939_verifySelectLanguage","Verify user can select any of the language and click Next","Verifies that the user can select any language from the available options and navigate through the introductory screen."
"passed","Fri Sep 11 14:13:54 IST 2026","Fri Sep 11 14:14:04 IST 2026","10144","Suite","M2006C3MII","com.intelehealth.tests.ForgotPasswordTest","com.intelehealth.tests.ForgotPasswordTest","verifyForgotPasswordWithValidMobileNumber","Verify Forgot Password with valid mobile number (positive)","Verifies Forgot Password functionality with a valid mobile number."
"passed","Fri Sep 11 14:07:39 IST 2026","Fri Sep 11 14:07:56 IST 2026","16248","Suite","M2006C3MII","com.intelehealth.tests.DashboardModuleTest","com.intelehealth.tests.DashboardModuleTest","IDA4_2074_verifyThatHelpOnBottomNavigateToHelpCenterPage","Verify that Help on Bottom navigate to Help center page",""
"unknown","Fri Sep 11 12:56:36 IST 2026","Fri Sep 11 12:56:36 IST 2026","1","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2476_verifySubmitButtonOfThreeOfElevenQuestion","Verify clicking on submit button by selecting both Number and duration type in 3 of 12",""
"passed","Thu Sep 10 15:51:31 IST 2026","Thu Sep 10 15:51:46 IST 2026","15485","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2606_verifySixofSixQuestionsIsShownToUser","Verify when user clicks Nails are normal/Nails are pale option in 5 of 6",""
"skipped","Fri Sep 11 17:06:42 IST 2026","Fri Sep 11 17:06:43 IST 2026","930","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2507_enterValueInDescribeTextBoxOFEightOfTwelveQuestions","Verify entering any data in describe field or select any option and click on submit button in 8 of 12",""
"passed","Fri Sep 11 13:56:44 IST 2026","Fri Sep 11 13:57:02 IST 2026","17633","Suite","M2006C3MII","com.intelehealth.tests.DashboardModuleTest","com.intelehealth.tests.DashboardModuleTest","IDA4_2065_verifyClickingOnPrescriptionsArrow","Verify clicking on Prescriptions arrow",""
"unknown","Fri Sep 11 12:56:37 IST 2026","Fri Sep 11 12:56:37 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2485_verifyUserAbleToSelectOptionOfFiveOfTwelveQuestions","Verify whether user able to select any options in 5 of 12",""
"passed","Fri Sep 11 15:34:51 IST 2026","Fri Sep 11 15:35:00 IST 2026","9224","Suite","M2006C3MII","com.intelehealth.tests.CloseVisitsTest","com.intelehealth.tests.CloseVisitsTest","IDA4_2245_enterTextInFeedbackAreaAndSubmit","Verify entering text in Give feedback area and click on submit button",""
"skipped","Thu Sep 10 17:56:29 IST 2026","Thu Sep 10 17:56:29 IST 2026","911","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2614_verifyPictureUploadedFromGalleryInSixOfSix","Verify picture is uploaded when selected from gallery/photos in 6 of 6",""
"passed","Fri Sep 11 16:06:38 IST 2026","Fri Sep 11 16:06:52 IST 2026","13736","Suite","M2006C3MII","com.intelehealth.tests.LoginMenuTest","com.intelehealth.tests.LoginMenuTest","IDA4_1950_verifyLoginWithValidUsernameAndPassword"," Verify if a user will be able to login with a valid username and valid password.",""
"passed","Fri Sep 11 16:00:59 IST 2026","Fri Sep 11 16:01:31 IST 2026","32166","Suite","M2006C3MII","com.intelehealth.tests.FollowupVisitsTest","com.intelehealth.tests.FollowupVisitsTest","testSelectDateRangeInDateRangeFilter","Verify selecting a date range in the date range filter updates the filter icon",""
"passed","Fri Sep 11 13:19:20 IST 2026","Fri Sep 11 13:19:36 IST 2026","16071","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2370_VerifyWhenUserClicksYesInConfirmAppointmentPopup","Verify when user clicks Yes in confirm appointment popup",""
"skipped","Fri Sep 11 17:06:57 IST 2026","Fri Sep 11 17:06:58 IST 2026","980","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2549_verifyAssociatedSymptomSubmitButton","Verify on clicking submit button after selecting yes or no option for symptoms",""
"broken","Thu Sep 10 15:35:25 IST 2026","Thu Sep 10 15:35:53 IST 2026","27951","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2586_verifyFourOfSixQuestionsIsShownToUser","Verify 4 of 6 questions is shown to user",""
"unknown","Fri Sep 11 12:56:37 IST 2026","Fri Sep 11 12:56:37 IST 2026","0","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2454_VerifyConfirmVisitPopup","Verify the functionality of Next button on 2/4 Visit reason screen",""
"skipped","Fri Sep 11 17:07:05 IST 2026","Fri Sep 11 17:07:06 IST 2026","943","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2518_verifyUserAllowedSelectOnlyOneOptionInElevenOfTwelveQuestions","Verify whether user able to select one or more options in 10 of 12",""
"passed","Fri Sep 11 14:46:45 IST 2026","Fri Sep 11 14:47:12 IST 2026","27213","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2113_verifyThatUserCanEndPendingVisit","Verify that user can end visit",""
